Year,Sample_Code,Group,Sample,Easting,Northing,Longitude,Latitude,Drain,Zone,salinity,Sal_zone,pH,EC,Cl,NOx_N,PO4_P,SO4_S,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Si,Sr,V,Zn,La,Nd,Gd
2019,2019_03_2,3,2,400101,6468016,115.9433184,-31.91935541,Chapman,Chapman_S,Marine,CD_saline,8.45,45450,NA,NA,NA,NA,NA,NA,2.458918529,0.077615573,279.5505801,NA,0.007121236,NA,NA,244.6583664,0.071835223,821.4321366,0.28098871,0.004892664,6459.136272,NA,0.059220569,0.229836863,298.2470394,2.255207031,4.329428046,0.028980394,0.015035003,NA,NA,NA
2019,2019_03_3,3,3,400099,6468009,115.9432965,-31.91941838,Chapman,Chapman_S,Marine,CD_saline,7.92,43950,NA,NA,NA,NA,NA,NA,2.44816224,0.082696577,276.7778245,NA,0.006253048,NA,NA,243.2104467,0.064490044,817.862343,0.264521871,0.0049022,6281.663632,NA,0.049003721,0.220080444,295.6909982,2.199003336,4.139119357,0.02826179,0.007415011,NA,NA,NA
2019,2019_03_4,3,4,400091,6468003,115.9432113,-31.9194718,Chapman,Chapman_S,Marine,CD_saline,8.59,37500,NA,NA,NA,NA,NA,NA,2.430150534,0.078956321,278.7564356,NA,0.007238093,NA,NA,241.4177172,0.060299071,816.7460242,0.288695058,0.004805601,6277.014584,NA,0.053716412,0.221348977,294.2187887,2.2757808,4.10282775,0.031547868,0.008303465,NA,NA,NA
2019,2019_03_5,3,5,400086,6467997,115.9431578,-31.91952548,Chapman,Chapman_S,Marine,CD_saline,8.26,39300,NA,NA,NA,NA,NA,0.002700513,2.514702109,0.077626231,288.8183751,NA,0.007215163,NA,NA,248.1616386,0.061968298,847.159404,0.13167909,0.004792804,6582.766642,NA,0.050174199,0.228570465,306.0556218,2.092950428,4.25438668,0.031093413,NA,NA,NA,NA
2019,2019_04_1,4,1,400170,6468086,115.9440554,-31.91873005,Chapman,Chapman_S,Marine,CD_saline,7.55,12580,NA,NA,NA,NA,NA,NA,1.058252334,0.058590546,102.891573,0.008139586,0.003500197,NA,0.529369537,103.4223898,0.021507952,274.8949017,2.987702239,0.00371822,2198.442029,NA,0.223190603,0.095190977,107.361441,5.759852545,1.541625528,0.018077047,0.017356075,NA,NA,NA
2019,2019_04_2,4,2,400179,6468088,115.9441508,-31.9187128,Chapman,Chapman_S,Marine,CD_saline,7.52,11240,NA,NA,NA,NA,NA,NA,1.010419324,0.057262244,99.97165392,NA,0.002636496,NA,0.480096256,96.98675547,0.018658099,262.3900627,2.147989621,0.003504568,2091.099734,NA,0.180898234,0.093943845,98.96441327,5.776109548,1.481366635,0.016699674,0.009650873,NA,NA,NA
2019,2019_04_3,4,3,400187,6468099,115.9442365,-31.91861428,Chapman,Chapman_S,Marine,CD_saline,7.85,12320,NA,NA,NA,NA,NA,NA,1.041775924,0.057329027,103.4086831,0.009135908,0.002937829,NA,0.281223867,97.26477645,0.02686029,271.9855249,2.50146374,0.003592263,2171.836919,NA,0.123079511,0.093427436,101.6319457,5.836802545,1.540628272,0.015774839,0.007985818,NA,NA,NA
2019,2019_04_4,4,4,400221,6468123,115.9445986,-31.91840078,Chapman,Chapman_S,Marine,CD_saline,7.4,8350,NA,NA,NA,NA,NA,NA,0.812774735,0.049936125,83.4859589,NA,0.002450384,NA,0.652256122,73.11934907,0.020557768,194.8361418,0.895584101,0.002727115,1553.841023,NA,0.14247864,0.075283577,73.16818937,5.935307787,1.168801448,0.013974688,0.0152711,NA,NA,NA
2019,2019_04_5,4,5,400234,6468145,115.9447383,-31.91820347,Chapman,Chapman_S,Marine,CD_saline,7.44,6510,NA,NA,NA,NA,NA,NA,0.655744835,0.043496774,70.68411606,NA,0.002128717,NA,0.465597086,57.82971499,0.019059913,142.4515301,0.272465551,0.002319441,1126.070169,NA,0.149552017,0.061618068,51.68693981,6.024274185,0.892104509,0.010902819,0.021136505,NA,NA,NA
2019,2019_04_6,4,6,400256,6468170,115.9449736,-31.91797989,Chapman,Chapman_S,Fresh,CD_fresh,7.46,3770,NA,NA,NA,NA,NA,0.003160074,0.4289647,0.044179906,57.20549545,NA,0.00198238,NA,0.809617049,39.60965723,0.017143326,73.32412095,0.299060509,0.001914008,639.4353982,NA,0.179772301,0.04438571,25.88673978,6.374204351,0.567202537,0.010767375,0.013995911,NA,NA,NA
2019,2019_04_7,4,7,400273,6468188,115.9451552,-31.91781902,Chapman,Chapman_S,Fresh,CD_fresh,7.35,21490,NA,NA,NA,NA,NA,0.004892799,0.281958505,0.034464468,49.64538183,NA,NA,NA,1.189614815,28.41170005,0.022855989,37.27358194,0.384667315,0.001762571,321.3531018,NA,0.219868615,0.030615936,10.88073977,6.84979059,0.366037294,0.007100819,0.007790085,NA,NA,NA
2019,2019_04_8,4,8,400298,6468209,115.9454218,-31.91763179,Chapman,Chapman_S,Fresh,CD_fresh,7.32,13580,NA,NA,NA,NA,0.01176984,0.013654427,0.216776295,0.043385581,50.71722973,NA,NA,NA,4.377016802,22.66981388,0.021089553,22.47889331,0.594578125,0.001553504,194.9473938,NA,0.40605508,0.027400634,4.821513696,7.162454939,0.285555379,0.006375067,0.013360645,NA,NA,NA
