Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-01-011,A-horizon,115.8356,-31.7224,0,50,924,82,320,7,21,3.19,100,0.02,1.32,1.61,6.75,0.01,1.45,0.22,0.83,0.31,0.08,0.06,0.01,0.75,0.11,0.57,0.04,5.48,0.49,0.59,1.14
616-01-011,E-horizon,115.8356,-31.7224,230,250,32,4,198,5,3,0.16,12,NA,0.56,NA,1.33,0.004,0.87,0.14,0.37,0.22,0.05,0.01,0.01,0.56,0.1,0.37,0.01,0.2,0.29,0.42,1.83
616-01-011,E-horizon,115.8356,-31.7224,520,540,22,4,300,9,2,0.15,11,NA,0.27,NA,1.39,0.007,1.3,0.26,0.65,0.22,0.07,0.03,0.02,0.66,0.06,0.51,0.04,0.22,0.39,0.82,2.89
616-01-011,E-horizon,115.8356,-31.7224,640,660,47,25,560,24,7,0.28,76,NA,0.19,1.64,8.39,0.016,5.07,0.34,1.83,1.13,0.23,0.03,0.02,2.7,0.1,1.94,0.11,1.31,1.75,1.69,0.09
616-01-014,A-horizon,115.8781,-31.7408,0,50,361,18,307,3,6,0.95,25,NA,1.05,NA,2.12,0.003,0.87,0.21,0.97,0.18,0.05,0.04,0.03,0.52,0.16,0.35,0.03,1.42,0.32,0.45,1.88
616-01-014,E-horizon,115.8781,-31.7408,250,270,43,5,161,3,2,0.23,9,NA,0.5,NA,1.39,0.002,0.7,0.13,0.34,0.1,0.03,NA,0.05,0.31,0.08,0.26,NA,0.39,0.24,0.55,2.98
616-01-014,E-horizon,115.8781,-31.7408,600,NA,41,12,1222,3,7,0.31,8,0.26,0.2,NA,1.3,0.012,1.54,0.15,3.87,1.19,0.07,0.01,0.01,0.65,0.16,0.38,0.07,0.49,0.8,2.55,1.28
616-01-014,coffee-rock,115.8781,-31.7408,700,NA,48,22,1859,2,9,0.43,21,NA,0.3,0.1,1.26,0.017,1.6,0.19,4.64,1.45,0.08,0.07,0.02,0.87,0.16,0.44,0.08,0.54,0.86,3.7,0.92
616-01-014,E-horizon,115.8781,-31.7408,800,NA,41,14,1536,4,7,0.6,9,NA,0.22,0.04,1.27,0.015,1.66,0.2,4.21,1.55,0.09,0.05,0.07,0.83,0.11,0.43,0.1,0.51,0.88,3.18,1.7
616-01-014,E-horizon,115.8781,-31.7408,900,NA,107,15,1853,2,10,0.56,12,NA,0.15,0.02,1.57,0.02,1.71,0.16,3.28,1.5,0.1,0.07,NA,0.95,0.17,0.47,0.07,0.69,0.83,3.72,1.74
