Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-02-145,B-horizon,115.9793,-31.9212,450,NA,249,435,51808,36,126,NA,185,17.78,0.38,46.18,32.13,2.813,16.46,7.37,63.13,23.2,NA,NA,NA,7.64,3.01,6.24,6.09,2.63,17.36,456.05,4.8
616-02-145,B-horizon,115.9793,-31.9212,550,NA,82,192,1623,4,13,1.05,308,2.76,0.19,7.85,14.25,0.259,7.78,2.25,16.62,4.36,0.28,NA,0.06,5.76,0.27,2.24,1.08,4.33,4.55,9.13,1.04
616-02-158,E-horizon,115.8303,-32.3542,75,NA,13,4,73,2,1,1.72,3,0.08,0.02,0.3,0.7,NA,0.27,0.01,0.22,0.11,0.04,NA,0.01,0.18,0.1,0.11,0.01,0.11,0.07,0.14,0.04
616-02-158,coffee-rock,115.8303,-32.3542,250,NA,75,73,2272,12,172,1.16,635,2.32,0.33,6.07,5.92,0.092,4.21,0.22,8.43,4.24,0.23,NA,0.02,2.35,1.64,1.69,0.4,1.39,1.43,14.97,0.67
616-02-158,coffee-rock,115.8303,-32.3542,400,NA,125,208,1042,24,41,2.84,738,0.14,0.24,7.88,11.73,0.001,2.86,0.3,7.76,2.8,0.13,0.01,0.02,1.82,1.5,1.09,0.24,2.5,1.24,3.36,0.29
616-02-174,B-horizon,115.9129,-31.8434,400,NA,380,68,1304,13,42,3.21,191,0.31,1.55,0.93,2.27,0.007,1.11,1.23,11.41,1.53,0.02,NA,NA,0.71,1.08,0.44,0.09,1.75,0.49,0.95,0.2
616-02-179,B-horizon,115.9383,-31.8744,375,400,37,23,315,3,4,1.7,121,0.26,0.09,0.44,3.13,0.008,1.18,0.05,3.31,0.99,0.06,0.01,0.01,0.75,0.11,0.5,0.09,0.57,0.38,1.54,0.17
Ellenbrook,E-horizon,115.9741,-31.791,0,150,16,5,80,2,1,1.45,5,NA,0.02,0.32,1.34,NA,0.42,NA,0.3,0.24,0.02,NA,NA,0.24,0.04,0.16,0.02,0.12,0.19,0.08,0.12
Ellenbrook,coffee-rock,115.9741,-31.791,150,200,295,57,1222,2,42,0.54,447,1.68,NA,5.84,11.26,0.111,7.6,0.5,16.54,4.81,0.67,0.01,0.09,4.09,0.18,3.18,1.37,1.43,3.66,7.99,1.88
Ellenbrook,B-horizon,115.9741,-31.791,500,550,117,32,1498,2,3,1.49,1164,0.15,0.07,1.79,5.4,0.009,1.46,0.34,1.21,0.35,NA,NA,NA,0.95,0.05,0.53,0.09,0.86,0.36,0.57,0.27
