"Sample","Easting","Northing","Type","Zone","Depth_top","Depth_bot","Quartz","Kaolinite","Illite","Feldspars","Biotite","Halite","Gypsum","Pyrite","Hornblende","Jarosite","Calcite","Palygorskite","Phlogopite","Haematite","Gibbsite","Rutile","Goethite","Dolomite","Nesquehonite","Halloysite","Clinochlore","Vermiculite","Magnetite","Thenardite","Cristobalite","Alunite","Tremolite","Artinite","Lepidocrocite","Cordierite","Talc"
"AFS21-34",400468,6468171,"Surface","Saltmarsh",0,10,56.9,4,3.5,31.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-35",400546,6468165,"Surface","Saltmarsh",0,10,8.1,50.8,20.4,20.3,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-36",400577,6468196,"Surface","Saltmarsh",0,10,10,45.1,20.1,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-39",400375,6468123,"Surface","Saltmarsh",0,10,41.2,20.1,16.3,21.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
"AFS21-40",400433,6468106,"Surface","Saltmarsh",0,10,58.9,2.7,3.3,29,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,0.9,1,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA
"AFS21-41",400470,6468135,"Surface","Saltmarsh",0,10,6.9,37.6,34,19.9,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-42",400505,6468110,"Surface","Saltmarsh",0,10,7.1,42.2,23,18.6,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3
"AFS21-43",400249,6468097,"Surface","Saltmarsh",0,10,9.2,38.8,34.5,16.3,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-44",400298,6468083,"Surface","Saltmarsh",0,10,6.3,46,23.6,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-45",400337,6468095,"Surface","Saltmarsh",0,10,6.5,47.6,23.9,21.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-47",400429,6468064,"Surface","Saltmarsh",0,10,13.3,43.5,27.8,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-48",400476,6468072,"Surface","Saltmarsh",0,10,8,40.1,31.4,20.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-49",400192,6468050,"Surface","Saltmarsh",0,10,6.7,35.2,30.2,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-50",400216,6468016,"Surface","Saltmarsh",0,10,10.6,41.3,28.2,19.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-51",400277,6468012,"Surface","Saltmarsh",0,10,13,40.6,32.7,12.9,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"AFS21-52",400310,6468007,"Surface","Saltmarsh",0,10,8.5,48.4,27.6,15,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-53",400365,6468009,"Surface","Saltmarsh",0,10,13.9,37.6,32.8,14,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA
"AFS21-54",400446,6468014,"Surface","Saltmarsh",0,10,10.9,41.4,27.6,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-55",400149,6467984,"Surface","Saltmarsh",0,10,7.9,42.8,34.7,12.5,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-56",400271,6467978,"Surface","Saltmarsh",0,10,11.8,40,27.9,18.4,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-58",400383,6467960,"Surface","Saltmarsh",0,10,8.6,46.6,27.4,15.8,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-63",400055,6468230,"Surface","Woolcock",0,10,45.1,NA,30,17,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,1.1,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-64",400050,6468217,"Surface","Woolcock",0,10,39.3,20.1,24.6,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,1.5,NA
"AFS21-67",4e+05,6468300,"Surface","Woolcock",0,10,60.8,25.7,NA,3.5,NA,8.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-69",400002,6468302,"Surface","Woolcock",0,10,4.1,34.6,23.7,18,NA,7,3.1,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
