"Sample","Easting","Northing","Type","Zone","Depth_top","Depth_bot","Quartz","Kaolinite","Illite","Feldspars","Biotite","Halite","Gypsum","Pyrite","Hornblende","Jarosite","Calcite","Palygorskite","Phlogopite","Haematite","Gibbsite","Rutile","Goethite","Dolomite","Nesquehonite","Halloysite","Clinochlore","Vermiculite","Magnetite","Thenardite","Cristobalite","Alunite","Tremolite","Artinite","Lepidocrocite","Cordierite","Talc"
"ENVT4461-G1-S1",400242,6468305,"Surface","LimePath",0,10,53,23.9,NA,22.1,NA,0.5,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G1-S2",400244,6468278,"Surface","N-pond",0,10,5.3,39.5,34.8,11.7,NA,7.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G1-S3",400264,6468307,"Surface","LimePath",0,10,94.7,1.5,NA,NA,NA,1.2,0.5,NA,NA,NA,0.1,NA,0.7,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G2-S1",400212,6468313,"Surface","LimePath",0,10,49.5,21.4,1,18.4,NA,1.9,0.8,NA,NA,NA,6.8,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G2-S3",400016,6468161,"Surface","LimePath",0,10,19,41.9,19,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G2-S5",400016,6468161,"Surface","LimePath",0,10,54.5,0.3,0.2,5.81,NA,NA,NA,NA,NA,NA,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G3-S1",400389,6468331,"Surface","LimePath",0,10,15.8,41.9,18.3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G3-S2",400387,6468341,"Surface","LimePath",0,10,23.7,38.2,14.5,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G3-S3",400388,6468325,"Surface","LimePath",0,10,18.5,42.1,16.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G4-S1 10-15cm",400389,6468331,"Surface","LimePath",10,15,4.8,44,37.8,8.6,NA,4.3,0.1,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA
"ENVT4461-G4-S2",400387,6468341,"Surface","LimePath",0,10,5.2,48.2,33.5,11.7,NA,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G4-S3",400388,6468325,"Surface","LimePath",0,10,8.1,48.3,17.4,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G5-S1",399912,6468000,"Surface","SW-marsh",0,10,6.3,38.1,26.2,12.7,NA,12,0.7,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G5-S2",399995,6468638,"Surface","SW-marsh",0,10,13.2,39.9,0.7,7,NA,29.8,5.3,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G5-S3",399912,6467984,"Surface","SW-marsh",0,10,6.2,42.7,22.8,17.5,NA,8.9,0.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G5-S4",399912,6467976,"Surface","SW-marsh",0,10,5.2,42.4,18,17.6,NA,12.1,1.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G5-S6",399960,6468000,"Surface","SW-marsh",0,10,4.6,36.2,21.3,8.7,NA,23.6,1.8,3.5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G6-Core",400455,6468307,NA,"NE-pond",0,10,84.7,0.6,NA,14.3,NA,NA,0.01,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461-G6-Sediment",400467,6468312,NA,"NE-pond",0,10,23.8,39.5,NA,34.4,NA,1.8,0.1,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
