zone,zonesE,zonesN
N,400228,6468277
N,400217,6468232
N,400215,6468209
N,400225.7,6468194
N,400234.1,6468194
N,400251.2,6468200
N,400276.6,6468208
N,400305.3,6468226.899
N,400321,6468242.397
N,400400,6468320
N,400395,6468325
N,400370,6468320
N,400350,6468330
N,400237.7,6468315
NA,NA,NA
S,400055,6468115
S,400110,6468110
S,400125,6468105
S,400138,6468096
S,400140,6468063.718
S,400111.54,6468026.4
S,400100,6468024.231
S,400095,6468050
S,400060,6468060
S,400040,6468068
S,400010,6468068
S,400010,6468090
S,400055,6468115
NA,NA,NA
SW,399934.3,6467996
SW,399940,6468006
SW,399950,6468013
SW,399955.8,6468009
SW,399969.9,6468015
SW,399986,6468022
SW,399984,6468028
SW,399979,6468039
SW,399959.2,6468041
SW,399953.5,6468041
SW,399945.7,6468037
SW,399927.3,6468026
SW,399916.7,6468022
SW,399900,6468010
SW,399900,6467995
SW,399934.3,6467996
NA,NA,NA
SM-SW,399900,6467995
SM-SW,399934.3,6467996
SM-SW,399940,6468006
SM-SW,399950,6468013
SM-SW,399955.8,6468009
SM-SW,399969.9,6468015
SM-SW,399986,6468022
SM-SW,399997,6467970
SM-SW,400010,6467971
SM-SW,399995,6468040
SM-SW,399975,6468075
SM-SW,400010,6468068
SM-SW,400040,6468068
SM-SW,400060,6468060
SM-SW,400095,6468050
SM-SW,400100,6468024
SM-SW,400040,6467965
SM-SW,400010,6467968
SM-SW,399997,6467967
SM-SW,399955,6467971
SM-SW,399920,6467964
SM-SW,399900,6467960
SM-SW,399900,6467995
NA,NA,NA
KMD,399915,6468174
KMD,399905,6468170
KMD,399940,6468100
KMD,399963,6468070
KMD,399979,6468039
KMD,399984,6468028
KMD,399986,6468022
KMD,399997,6467970
KMD,400010,6467971
KMD,399995,6468040
KMD,399975,6468075
KMD,399950,6468110
KMD,399915,6468174
NA,NA,NA
NE,400405.8,6468285
NE,400378.1,6468253
NE,400369.4,6468253
NE,400363.4,6468250
NE,400352.3,6468257.3
NE,400320,6468225
NE,400344.4,6468214
NE,400407.5,6468220
NE,400419.3,6468229
NE,400425.3,6468235
NE,400435,6468282
NE,400456,6468302
NE,400466.6,6468309
NE,400458,6468327
NE,400449.4,6468322
NE,400405.8,6468285
NA,NA,NA
LP,400190,6468340
LP,400250,6468340
LP,400440,6468375
LP,400395,6468325
LP,400370,6468320
LP,400350,6468330
LP,400237.7,6468315
LP,400234,6468300
LP,400200,6468300
LP,400140,6468270
LP,400140,6468325
LP,400190,6468340
NA,NA,NA
SM-W,399915,6468174
SM-W,400030,6468265
SM-W,400045,6468232
SM-W,400040,6468210
SM-W,400048,6468200
SM-W,400033,6468185
SM-W,400016,6468157
SM-W,400038.3,6468130
SM-W,400053.4,6468131
SM-W,400067.6,6468161
SM-W,400073.9,6468171
SM-W,400076.3,6468177
SM-W,400090,6468207
SM-W,400078,6468218
SM-W,400048,6468200
SM-W,400055,6468205
SM-W,400060,6468225
SM-W,400055,6468255
