Sample,Type,Depth_top,Depth_bot,Quartz,Halite,Kaolinite,Albite,Sanidine,Microcline,(An)orthoclase,Anorthite,Periclase,Muscovite,Illite,Gypsum,Pyrite,Jarosite,Calcite,Dolomite,Palygorskite,Halloysite,Hornblende,Magnetite,Haematite,Gibbsite,Goethite,Thenardite,Nesquehonite,Phlogopite,Cristobalite
ENVT4461-G1-S3,Surface,0,10,Y,Y,Y,,,,,,,,,t,,,t,t,,,,,,,,,t,t,
ENVT4461-G2-S1,Surface,0,10,Y,Y,Y,Y,,,,,,,Y,t,,,Y,,,,,,t,,,,,,
ENVT4461-G2-S3,Surface,0,10,Y,,Y,,,,,Y,,,Y,,,,,,,,,,,,,,,,
ENVT4461-G2-S5,Surface,0,10,Y,,,Y,,Y,,,t,,t,,,,Y,,,,,,,,,,,,
ENVT4461-G3-S1,Surface,0,10,Y,,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,
ENVT4461-G3-S2,Surface,0,10,Y,,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,
ENVT4461-G3-S3,Surface,0,10,Y,,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,
ENVT4461-G4-S1 10-15cm,Shallow core,10,15,Y,Y,Y,Y,,,Y,,,,Y,t,,,,,,,t,,,,,,,,t
ENVT4461-G4-S2,NA,0,10,Y,t,Y,Y,,,Y,,,,Y,t,,,,,,,,,,,,,,,
ENVT4461-G4-S3,NA,0,10,Y,,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,
ENVT4461-G5-S1,Surface,0,10,Y,Y,Y,Y,,,,,,,Y,t,Y,,,,,,,,,,,,,,
ENVT4461-G5-S2,Surface,0,10,Y,Y,Y,,,,,Y,,,t,Y,Y,,,,,,,,,,,,,,
ENVT4461-G5-S3,Surface,0,10,Y,Y,Y,,,,,Y,,,Y,t,Y,,,,,,,,,,,,,,
ENVT4461-G5-S4,Surface,0,10,Y,Y,Y,Y,,,,,,,Y,,Y,,,,,,,,,,,,,,
ENVT4461-G5-S6,Surface,0,10,Y,Y,Y,,,,,Y,,,Y,Y,Y,,,,,,,,,t,,,,,
ENVT4461-G6-Core,NA,0,10,Y,,t,Y,,,,,,,,t,,,,t,,,,,,,,,,t,
ENVT4461-G6-Core,NA,0,10,Y,Y,Y,Y,,Y,,,,,,t,,,,,,,,,,,,,,t,
