Pos. [°2?],Intensity [Counts],,,
11.5039,3531.0841,,,
11.5259,3537.7148,,,
11.5479,3561.4543,,,
11.5699,3594.5339,,,
11.5919,3559.1765,,,
11.6139,3552.7217,,,
11.6359,3515.4661,,,
11.6579,3484.3913,,,
11.6799,3509.561,,,
11.7019,3621.2301,,,
11.7239,3603.5058,,,
11.7459,3531.0757,,,
11.7679,3546.9218,,,
11.7899,3530.5732,,,
11.8119,3516.5688,,,
11.8339,3498.0472,,,
11.8559,3414.0614,,,
11.8779,3432.6973,,,
11.8999,3487.584,,,
11.9219,3465.1662,,,
11.9439,3498.3988,,,
11.9659,3485.2241,,,
11.9879,3393.79,,,
12.0099,3431.5753,,,
12.0319,3470.7714,,,
12.0539,3451.6785,,,
12.0759,3460.5757,,,
12.0979,3515.5133,,,
12.1199,3566.6741,,,
12.1419,3553.176,,,
12.1639,3507.9041,,,
12.1859,3511.0747,,,
12.2079,3398.022,,,
12.2299,3354.4779,,,
12.2519,3380.4258,,,
12.2739,3436.6382,,,
12.2959,3390.9557,,,
12.3179,3405.6018,,,
12.3399,3363.6583,,,
12.3619,3403.7523,,,
12.3839,3418,,,
12.4059,3366.4601,,,
12.4279,3297.7035,,,
12.4499,3407.3452,,,
12.4719,3272.6862,,,
12.4939,3350.0709,,,
12.5159,3410.857,,,
12.5379,3360.8141,,,
12.5599,3398.3024,,,
12.5819,3392.9194,,,
12.6039,3392,,,
12.6259,3279.0796,,,
12.6479,3311.0851,,,
12.6699,3415.3521,,,
12.6919,3286.9866,,,
12.7139,3318.6559,,,
12.7359,3359.2115,,,
12.7579,3443.938,,,
12.7799,3370.8367,,,
12.8019,3292.0167,,,
12.8239,3267.174,,,
12.8459,3253.2144,,,
12.8679,3271,,,
12.8899,3272.9469,,,
12.9119,3302.3732,,,
12.9339,3381.8161,,,
12.9559,3337.5914,,,
12.9779,3255.9351,,,
12.9999,3254.8462,,,
13.0219,3313.8879,,,
13.0439,3264.4951,,,
13.0659,3256.2764,,,
13.0879,3365.0442,,,
13.1099,3332.1878,,,
13.1319,3334.8406,,,
13.1539,3276.7228,,,
13.1759,3330.703,,,
13.1979,3274.3108,,,
13.2199,3359.4513,,,
13.2419,3344.2812,,,
