Pos. [°2?],Intensity [Counts]
3.7819,17177
3.8039,16783.0211
3.8259,16618.2724
3.8479,16374.1121
3.8699,15933.0492
3.8919,15905.116
3.9139,15466.5074
3.9359,15437.5157
3.9579,14803.1613
3.9799,14853.2212
4.0019,14618.8476
4.0239,14306.0777
4.0459,13874.6018
4.0679,13639.9607
4.0899,13473.5683
4.1119,13394.8363
4.1339,13119.0187
4.1559,12692.8653
4.1779,12668.5133
4.1999,12425.3894
4.2219,12373.1839
4.2439,12174.0339
4.2659,11769.7385
4.2879,11901.263
4.3099,11612.8112
4.3319,11320.3019
4.3539,11129.3117
4.3759,10768.7035
4.3979,10846.5595
4.4199,10700.5044
4.4419,10439.2596
4.4639,10155.5797
4.4859,10118.6588
4.5079,9911.4675
4.5299,9767.2419
4.5519,9648.8717
4.5739,9609.3097
4.5959,9440.6721
4.6179,9221.4621
4.6399,9103.9086
4.6619,9021.0197
4.6839,8804.2925
4.7059,8674.1976
4.7279,8623.1219
4.7499,8391.35
4.7719,8330.3053
4.7939,8355.292
4.8159,8243.1249
4.8379,8009.9587
4.8599,7913.0905
4.8819,7881.6794
4.9039,7697.1696
4.9259,7516.1603
4.9479,7504.4341
4.9699,7467.9203
4.9919,7279.4621
5.0139,7222.9607
5.0359,7082.7743
5.0579,7026.8417
5.0799,6950.2311
5.1019,6823.3923
5.1239,6732.0187
5.1459,6667.2773
5.1679,6460.9646
5.1899,6521.4209
5.2119,6537.8205
5.2339,6420.4307
5.2559,6444.2335
5.2779,6276.9764
5.2999,6200.4439
5.3219,6058.7817
5.3439,6043.1087
5.3659,6096.2124
5.3879,5884.0717
5.4099,5903.5674
5.4319,5848.0811
5.4539,5834.5929
5.4759,5863.3387
5.4979,5784.469
5.5199,5710.1175
5.5419,5609.6716
5.5639,5595.0575
5.5859,5467.1504
5.6079,5365.1805
5.6299,5611.0619
5.6519,5430.6893
5.6739,5361.7679
5.6959,5387.9498
5.7179,5348.7955
5.7399,5353.6937
5.7619,5216.9381
5.7839,5288.3835
5.8059,5139.708
5.8279,5182.5885
5.8499,5244.0767
5.8719,5187.9233
5.8939,5139.1947
5.9159,5176.6681
5.9379,5004.5703
5.9599,4942.6593
5.9819,5001.6224
6.0039,5027.9651
6.0259,4966.1268
6.0479,4864.736
6.0699,4958.8791
6.0919,5030.649
6.1139,5014.4405
6.1359,4932.7217
6.1579,4909.3717
6.1799,4932.1288
6.2019,4862.4218
6.2239,4810.8879
6.2459,4832.5614
6.2679,4764.0556
6.2899,4786.0413
6.3119,4762.3451
6.3339,4777.766
6.3559,4850.2699
6.3779,4786.2842
6.3999,4772.5659
6.4219,4738.5074
6.4439,4717.6691
6.4659,4709.0413
6.4879,4654.205
6.5099,4682.355
6.5319,4706.1268
6.5539,4631.354
6.5759,4604.2434
6.5979,4587.8849
6.6199,4634.7788
6.6419,4659.4995
6.6639,4640.3899
6.6859,4556.5958
6.7079,4544.7173
6.7299,4597.4091
6.7519,4528.292
6.7739,4543.7709
6.7959,4508.7158
6.8179,4522.1623
6.8399,4436.1484
6.8619,4454.2635
6.8839,4461.8732
6.9059,4526.8063
6.9279,4559.3338
6.9499,4476.5398
6.9719,4454.911
6.9939,4399.5909
7.0159,4429.3732
7.0379,4399.0462
7.0599,4358.4081
7.0819,4282.82
