Angle,Counts
3.7819,17174
3.8039,17133.9641
3.8259,16883.9282
3.8479,16627.1814
3.8699,16218.4739
3.8919,16268.9258
3.9139,15709.6667
3.9359,15578.7586
3.9579,15264.7984
3.9799,14906.3805
4.0019,14602.6696
4.0239,14425.5954
4.0459,14090.1947
4.0679,14059.2104
4.0899,13700.7729
4.1119,13630.233
4.1339,13441.9115
4.1559,13264.8825
4.1779,12995.6195
4.1999,12724.6293
4.2219,12465.1848
4.2439,12137.1652
4.2659,12113.9046
4.2879,11831.5919
4.3099,11618.1386
4.3319,11441.2345
4.3539,11335.6145
4.3759,11145.9027
4.3979,11064.3854
4.4199,10803.97
4.4419,10701.472
4.4639,10547.1824
4.4859,10447.2881
4.5079,10325.1239
4.5299,10135.7787
4.5519,10002.1775
4.5739,9798.0708
4.5959,9601.2788
4.6179,9495.4985
4.6399,9267.4026
4.6619,9071.1632
4.6839,8926.1578
4.7059,8810.2124
4.7279,8699.7188
4.7499,8598.7257
4.7719,8484.1593
4.7939,8429.3461
4.8159,8312.3525
4.8379,8099.6165
4.8599,7995.148
4.8819,7970.0216
4.9039,7892.3009
4.9259,7856.4739
4.9479,7787.3432
4.9699,7654.7522
4.9919,7467.7424
5.0139,7345.9361
5.0359,7243.9351
5.0579,7157.5339
5.0799,7184.5865
5.1019,7081.3186
5.1239,7057.4936
5.1459,6937.5005
5.1679,6839.9248
5.1899,6721.5251
5.2119,6622.8963
5.2339,6633.3923
5.2559,6472.0059
5.2779,6354.9282
5.2999,6341.5442
5.3219,6307.585
5.3439,6285.4194
5.3659,6128.1327
5.3879,6198.6219
5.4099,5981.6155
5.4319,5983.8894
5.4539,6085.9509
5.4759,6023.912
5.4979,5921.2537
5.5199,5762.6121
5.5419,5855.3451
5.5639,5754.4557
5.5859,5689.7414
5.6079,5530.0929
5.6299,5490.9971
5.6519,5639.4184
5.6739,5620.8977
5.6959,5511.0575
5.7179,5395.1623
5.7399,5439.8402
5.7619,5418.8938
5.7839,5415.8673
5.8059,5374.4985
5.8279,5215.0148
5.8499,5279.9715
5.8719,5281.5172
5.8939,5147.0826
5.9159,5126.5708
5.9379,5172.7748
5.9599,5125.5354
5.9819,5212.3992
6.0039,5146.1018
6.0259,5045.1239
6.0479,5004.9071
6.0699,5075.6165
6.0919,5014.7847
6.1139,5046.6057
6.1359,5011.1283
6.1579,4952.6106
6.1799,5001.0767
6.2019,5005.1278
6.2239,4977.9631
6.2459,4869.94
6.2679,4826.3889
6.2899,4936.767
6.3119,4899.3264
6.3339,4844.4543
6.3559,4754.8053
6.3779,4751.1013
6.3999,4845.9538
6.4219,4805.9085
6.4439,4768.3864
6.4659,4830.4631
6.4879,4794.3009
6.5099,4737.1023
6.5319,4701.262
6.5539,4746.1416
6.5759,4750.8063
6.5979,4682.9489
6.6199,4634.6962
6.6419,4615.5762
6.6639,4619.3899
6.6859,4627.0914
