Pos. [°2?],Intensity [Counts]
7.3239,5906.1839
7.3459,6003.1239
7.3679,6023.969
7.3899,6014.5123
7.4119,5983.4395
7.4339,5962.468
7.4559,5917.8461
7.4779,5774.8289
7.4999,5829.2281
7.5219,5806.936
7.5439,5691.1992
7.5659,5849.8437
7.5879,5887.585
7.6099,5788.764
7.6319,5816.322
7.6539,5704.7335
7.6759,5730.7552
7.6979,5719.8436
7.7199,5657.6102
7.7419,5760.177
7.7639,5811.6332
7.7859,5712.2792
7.8079,5626.5752
7.8299,5602.8339
7.8519,5759.9415
7.8739,5758.9675
7.8959,5659.8328
7.9179,5559.7286
7.9399,5579.3053
7.9619,5590.2586
7.9839,5545.1873
8.0059,5493.6047
8.0279,5525.6869
8.0499,5596.0875
8.0719,5513.7212
8.0939,5444.1829
8.1159,5443.4828
8.1379,5515.77
8.1599,5610.9715
8.1819,5576.4759
8.2039,5523.9366
8.2259,5533.6539
8.2479,5489.2458
8.2699,5409.7109
8.2919,5340.8904
8.3139,5369.0885
8.3359,5463.0576
8.3579,5502.2085
8.3799,5437.4105
8.4019,5332.5634
8.4239,5261.1096
8.4459,5420.0768
8.4679,5440.8288
8.4899,5284.3057
8.5119,5285.4745
8.5339,5333.062
8.5559,5343.0015
8.5779,5252.9537
8.5999,5284.708
8.6219,5260.2694
8.6439,5282.561
8.6659,5180.0501
8.6879,5063.8731
8.7099,5103.0217
8.7319,5178.3496
8.7539,5097.7777
8.7759,5013.115
8.7979,5210.6255
8.8199,5197.8279
8.8419,5149.9223
8.8639,5032.2212
8.8859,4999.0787
8.9079,5166.3079
8.9299,5131.6725
8.9519,5107.0088
8.9739,5022.1366
8.9959,5070.5177
9.0179,5027.8859
9.0399,5032.4381
9.0619,4964.6106
9.0839,4998.5236
9.1059,4889.8888
9.1279,4830.7566
9.1499,4931.8998
9.1719,4901.9435
9.1939,4896.9764
9.2159,4893.4877
9.2379,4830.6736
9.2599,4924.8142
9.2819,4945.5054
9.3039,4846.1725
9.3259,4801.2035
9.3479,4782.884
9.3699,4891.4689
9.3919,4701.972
9.4139,4801.0442
9.4359,4773.3948
9.4579,4750.5398
9.4799,4739.8451
9.5019,4686.1987
9.5239,4764.3097
9.5459,4641.9469
9.5679,4676.2552
9.5899,4722.2035
9.6119,4723.6003
9.6339,4704.767
9.6559,4681.6327
9.6779,4616.4818
9.6999,4556.8825
9.7219,4614.593
9.7439,4670.8461
9.7659,4641.5605
9.7879,4701.7493
9.8099,4675.702
9.8319,4581.2822
9.8539,4633.6549
9.8759,4663.0231
9.8979,4719.7818
9.9199,4759.3761
9.9419,4745.5536
9.9639,4732.1843
9.9859,4695.7611
10.0079,4730.0433
10.0299,4763.3462
10.0519,4777.8761
10.0739,4803.887
10.0959,4873.3216
10.1179,4906.2566
10.1399,4960.8255
10.1619,5132.3285
10.1839,5084.3288
10.2059,5176.2008
10.2279,5313.1898
10.2499,5386.6962
10.2719,5371.788
10.2939,5409.3019
10.3159,5269.876
10.3379,5135.5496
10.3599,4892.8917
10.3819,4675.0294
10.4039,4488.5766
10.4259,4365.2173
10.4479,4368.6918
10.4699,4328.4464
10.4919,4276.3053
10.5139,4168.3451
10.5359,4213.7886
10.5579,4231.2861
10.5799,4269.8968
10.6019,4185.2035
10.6239,4067.5879
10.6459,4142.1682
10.6679,4071.2074
10.6899,4007.7335
10.7119,4074.093
10.7339,4053.177
10.7559,3942.3446
10.7779,3991.7818
10.7999,4004.4459
10.8219,3918.2182
10.8439,4098.2494
10.8659,4024.7207
10.8879,3901.6887
10.9099,3886.2124
10.9319,3912.854
10.9539,3916.6746
10.9759,4012.2359
10.9979,3918.5073
11.0199,3815.7257
11.0419,3916.4218
11.0639,3875.3919
11.0859,3909.6126
11.1079,3917.5929
11.1299,3808.8456
11.1519,3757.4002
11.1739,3824.7551
11.1959,3811.9514
11.2179,3849.6361
11.2399,3764.1667
11.2619,3800.5694
11.2839,3864.5413
11.3059,3805.3185
11.3279,3704.7699
11.3499,3737.1062
11.3719,3745.4705
11.3939,3713.0904
11.4159,3673.5049
11.4379,3681.5634
11.4599,3692.0079
11.4819,3707.3608
11.5039,3594.438
11.5259,3574.3393
11.5479,3635.9513
11.5699,3661.593
11.5919,3689.4808
11.6139,3581.9114
11.6359,3519.1534
11.6579,3623.6304
11.6799,3638.8647
11.7019,3540.469
11.7239,3560.3707
11.7459,3566
11.7679,3547.0722
11.7899,3537.3225
11.8119,3510.6425
11.8339,3453.5428
11.8559,3454.8353
11.8779,3476.8004
11.8999,3464.261
11.9219,3471.5507
11.9439,3491.56
11.9659,3493.7168
