"Angle","Counts"
3.00243322,26615
3.01329966,26014
3.0241661,25886
3.03503254,25286
3.04589898,25444
3.05676542,25216
3.06763186,25144
3.0784983,24562
3.08936474,24302
3.10023118,24178
3.11109762,24200
3.12196406,24167
3.1328305,23924
3.14369694,23513
3.15456338,23372
3.16542982,22980
3.17629626,23318
3.1871627,23101
3.19802914,22677
3.20889558,22624
3.21976202,22542
3.23062846,22263
3.2414949,22148
3.25236134,21783
3.26322778,21859
3.27409422,21978
3.28496066,21437
3.2958271,21306
3.30669354,21353
3.31755998,21133
3.32842642,21226
3.33929286,21012
3.3501593,20751
3.36102574,20665
3.37189218,20376
3.38275862,20409
3.39362506,20233
3.4044915,20120
3.41535794,20083
3.42622438,19792
3.43709082,20094
3.44795726,19640
3.4588237,19524
3.46969014,19583
3.48055658,19407
3.49142302,19111
3.50228946,19231
3.5131559,19145
3.52402234,18864
3.53488878,18677
3.54575522,19028
3.55662166,18757
3.5674881,18573
3.57835454,18514
3.58922098,18387
3.60008742,18251
3.61095386,18329
3.6218203,18383
3.63268674,18495
3.64355318,17977
3.65441962,18175
3.66528606,17648
3.6761525,17583
3.68701894,17847
3.69788538,17398
3.70875182,17363
3.71961826,17622
3.7304847,17488
3.74135114,17394
3.75221758,17050
3.76308402,17100
3.77395046,16977
3.7848169,17064
3.79568334,16808
3.80654978,16883
3.81741622,16730
3.82828266,16758
3.8391491,16455
3.85001554,16532
3.86088198,16434
3.87174842,16312
3.88261486,16177
3.8934813,16045
3.90434774,16156
3.91521418,16086
3.92608062,15886
3.93694706,16095
3.9478135,16027
3.95867994,16002
3.96954638,15819
3.98041282,15843
3.99127926,15823
4.0021457,15702
4.01301214,15546
4.02387858,15448
4.03474502,15596
4.04561146,15652
4.0564779,15353
4.06734434,15204
4.07821078,15302
4.08907722,15329
4.09994366,15101
4.1108101,14949
4.12167654,15206
4.13254298,15299
4.14340942,15107
4.15427586,14947
4.1651423,15036
4.17600874,14737
4.18687518,14717
4.19774162,14814
4.20860806,14926
4.2194745,14689
4.23034094,14684
4.24120738,15002
