"Angle","Counts"
3.00243322,24882
3.01329966,24492
3.0241661,24455
3.03503254,24355
3.04589898,23940
3.05676542,23414
3.06763186,23329
3.0784983,23114
3.08936474,22836
3.10023118,22316
3.11109762,22216
3.12196406,22325
3.1328305,21784
3.14369694,21602
3.15456338,21426
3.16542982,21091
3.17629626,21012
3.1871627,20432
3.19802914,20636
3.20889558,20024
3.21976202,20173
3.23062846,19910
3.2414949,19455
3.25236134,19439
3.26322778,19338
3.27409422,18844
3.28496066,18928
3.2958271,18552
3.30669354,18563
3.31755998,18516
3.32842642,18311
3.33929286,17982
3.3501593,17942
3.36102574,17736
3.37189218,17310
3.38275862,17566
3.39362506,17068
3.4044915,16921
3.41535794,16802
3.42622438,16699
3.43709082,16492
3.44795726,16321
3.4588237,16284
3.46969014,16225
3.48055658,15989
3.49142302,15876
3.50228946,15536
3.5131559,15475
3.52402234,15217
3.53488878,15318
3.54575522,15260
3.55662166,15159
3.5674881,14862
3.57835454,14823
3.58922098,14722
3.60008742,14591
3.61095386,14509
3.6218203,14239
3.63268674,14039
3.64355318,14019
3.65441962,14068
3.66528606,13762
3.6761525,13773
3.68701894,13451
3.69788538,13519
3.70875182,13302
3.71961826,13481
3.7304847,13134
3.74135114,12796
3.75221758,12856
3.76308402,12932
3.77395046,12687
3.7848169,12568
3.79568334,12462
3.80654978,12283
3.81741622,12285
3.82828266,12451
3.8391491,12064
3.85001554,11994
3.86088198,12003
3.87174842,11971
3.88261486,11688
3.8934813,11588
3.90434774,11565
3.91521418,11692
3.92608062,11380
3.93694706,11256
3.9478135,11146
3.95867994,11232
3.96954638,11032
3.98041282,10873
3.99127926,10875
4.0021457,10722
4.01301214,10694
4.02387858,10516
4.03474502,10619
4.04561146,10436
4.0564779,10578
4.06734434,10478
4.07821078,10231
4.08907722,10017
4.09994366,9886
4.1108101,10163
4.12167654,9939
4.13254298,9854
4.14340942,9796
4.15427586,9847
4.1651423,9564
4.17600874,9681
4.18687518,9626
4.19774162,9674
4.20860806,9377
4.2194745,9473
4.23034094,9480
4.24120738,9263
4.25207382,9165
4.26294026,9255
4.2738067,9102
4.28467314,8995
4.29553958,8939
4.30640602,8913
4.31727246,8938
4.3281389,8838
4.33900534,8622
4.34987178,8726
4.36073822,8546
4.37160466,8549
4.3824711,8581
4.39333754,8449
4.40420398,8432
4.41507042,8303
4.42593686,8325
4.4368033,8092
4.44766974,8188
4.45853618,8210
4.46940262,8218
4.48026906,7962
4.4911355,8031
4.50200194,8162
4.51286838,7776
4.52373482,7866
4.53460126,7751
4.5454677,7739
4.55633414,7830
4.56720058,7735
4.57806702,7674
4.58893346,7624
4.5997999,7543
4.61066634,7477
4.62153278,7631
4.63239922,7590
4.64326566,7378
4.6541321,7417
4.66499854,7441
4.67586498,7188
4.68673142,7150
4.69759786,7132
4.7084643,7296
4.71933074,7182
4.73019718,7057
4.74106362,6924
4.75193006,7135
4.7627965,7050
4.77366294,7039
4.78452938,6949
4.79539582,6948
4.80626226,6947
4.8171287,6687
4.82799514,6769
4.83886158,6849
4.84972802,6796
4.86059446,6606
4.8714609,6814
4.88232734,6769
4.89319378,6676
4.90406022,6720
4.91492666,6748
4.9257931,6652
