"Angle","Counts"
3.00243322,25861
3.01329966,25312
3.0241661,25134
3.03503254,24937
3.04589898,24555
3.05676542,24581
3.06763186,23931
3.0784983,23844
3.08936474,23579
3.10023118,23616
3.11109762,23238
3.12196406,22937
3.1328305,22941
3.14369694,22499
3.15456338,22133
3.16542982,22185
3.17629626,21895
3.1871627,21794
3.19802914,21497
3.20889558,21360
3.21976202,20978
3.23062846,20789
3.2414949,20781
3.25236134,20303
3.26322778,20232
3.27409422,20069
3.28496066,19850
3.2958271,19478
3.30669354,19695
3.31755998,19126
3.32842642,19135
3.33929286,19112
3.3501593,18769
3.36102574,18573
3.37189218,18741
3.38275862,18232
3.39362506,18273
3.4044915,18100
3.41535794,17903
3.42622438,17559
3.43709082,17597
3.44795726,17559
3.4588237,17208
3.46969014,17216
3.48055658,16923
3.49142302,17163
3.50228946,16584
3.5131559,16576
3.52402234,16519
3.53488878,16270
3.54575522,16189
3.55662166,15957
3.5674881,15863
3.57835454,15671
3.58922098,15752
3.60008742,15491
3.61095386,15520
3.6218203,15311
3.63268674,15441
3.64355318,15002
3.65441962,14989
3.66528606,14733
3.6761525,14783
3.68701894,14668
3.69788538,14472
3.70875182,14274
3.71961826,14271
3.7304847,14036
3.74135114,14129
3.75221758,13850
3.76308402,13773
3.77395046,13852
3.7848169,13587
3.79568334,13364
3.80654978,13481
3.81741622,13290
3.82828266,13238
3.8391491,12961
3.85001554,12884
3.86088198,12899
3.87174842,12876
3.88261486,12553
3.8934813,12760
3.90434774,12365
3.91521418,12342
3.92608062,12388
3.93694706,12110
3.9478135,12025
3.95867994,12190
3.96954638,11991
3.98041282,11856
3.99127926,11920
4.0021457,11622
4.01301214,11611
4.02387858,11531
4.03474502,11148
4.04561146,11466
4.0564779,11389
4.06734434,11354
4.07821078,11040
4.08907722,11053
4.09994366,10908
4.1108101,11058
4.12167654,10775
4.13254298,10868
4.14340942,10537
4.15427586,10708
4.1651423,10637
4.17600874,10621
4.18687518,10637
4.19774162,10426
4.20860806,10247
4.2194745,10500
4.23034094,10132
4.24120738,10121
4.25207382,10022
4.26294026,9994
4.2738067,9806
4.28467314,9933
4.29553958,9817
4.30640602,9918
4.31727246,9740
4.3281389,9587
4.33900534,9528
4.34987178,9567
4.36073822,9311
4.37160466,9404
4.3824711,9384
4.39333754,9328
4.40420398,9145
